ID,Nombre,AñoFundacion,Genero,País
1,Rick Allen,2025,Reguetón,Burkina Faso
2,Chad Murray,2015,Reguetón,Northern Mariana Islands
3,David Casey,1954,Hip Hop,Venezuela
4,Donna Ramsey,1956,Reguetón,Antarctica (the territory South of 60 deg S)
5,Brooke Bradford,1985,Jazz,Holy See (Vatican City State)
6,Michael Reeves,1998,Reguetón,San Marino
7,Joseph Gibson,1976,Jazz,South Africa
8,Lawrence Burke,2020,Clásica,Libyan Arab Jamahiriya
9,Rhonda Blair,2000,Clásica,Singapore
10,Elizabeth George,1997,Reguetón,Bulgaria
11,Ashley Wilson,1952,Hip Hop,Croatia
12,Robert Rogers,2019,Reguetón,Faroe Islands
13,Maria Lucas,1990,Rock,Turkey
14,Elizabeth Pennington,2011,Hip Hop,Niue
15,Mr. James Johnson,2009,Jazz,Cambodia
16,Steven Hanson,1965,Reguetón,Serbia
17,Matthew Mccoy,1995,Jazz,Svalbard & Jan Mayen Islands
18,Scott Johnson,1985,Reguetón,Belarus
19,Amy Rodriguez,1991,Reguetón,Uzbekistan
20,James Smith,1970,Jazz,Qatar
21,Marvin Thompson,1961,Jazz,Nicaragua
22,Justin Johnson,2005,Hip Hop,Grenada
23,Cameron Burnett,1959,Hip Hop,Western Sahara
24,Katherine Stevenson,1974,Jazz,Hong Kong
25,Mike Humphrey,1961,Reguetón,Greenland
26,Robert Torres,1998,Rock,Myanmar
27,Tammy Weaver,1987,Pop,Hong Kong
28,Garrett Hubbard,1951,Clásica,Isle of Man
29,Edward Serrano,1964,Rock,British Virgin Islands
30,Beth Ross,1989,Jazz,Norfolk Island
